name,artist,popularity,id,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
I'll Be Seeing You,['Billie Holiday'],66,4smkJW6uzoHxGReZqqwHS5,jazz,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
I'll Be Seeing You,['Billie Holiday'],66,4smkJW6uzoHxGReZqqwHS5,jazz,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
I'll Be Seeing You,['Billie Holiday'],66,4smkJW6uzoHxGReZqqwHS5,jazz,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
I'll Be Seeing You,['Billie Holiday'],66,4smkJW6uzoHxGReZqqwHS5,jazz,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
Hipsippy Blues,['Art Blakey & The Jazz Messengers'],47,3iFlfQ0CXc9URaAvai8VUe,jazz,0.573,0.247,5,-19.282,0,0.0627,0.713,5.64e-05,0.103,0.604,138.234,audio_features,spotify:track:3iFlfQ0CXc9URaAvai8VUe,https://api.spotify.com/v1/tracks/3iFlfQ0CXc9URaAvai8VUe,https://api.spotify.com/v1/audio-analysis/3iFlfQ0CXc9URaAvai8VUe,400447,4
St. Thomas,"['Sonny Rollins', 'Tommy Flanagan', 'Doug Watkins', 'Max Roach']",46,0zQE77yszbyv61M4NboU2u,jazz,0.541,0.607,0,-8.435,1,0.0438,0.727,0.442,0.0997,0.754,104.96,audio_features,spotify:track:0zQE77yszbyv61M4NboU2u,https://api.spotify.com/v1/tracks/0zQE77yszbyv61M4NboU2u,https://api.spotify.com/v1/audio-analysis/0zQE77yszbyv61M4NboU2u,406267,4
'Long As You Know You're Living Yours,"['Keith Jarrett', 'Jan Garbarek', 'Palle Danielsson', 'Jon Christensen']",49,5z7deaTe21B7QVPhSDouL1,jazz,0.605,0.376,5,-14.978,1,0.0322,0.253,0.207,0.117,0.948,131.927,audio_features,spotify:track:5z7deaTe21B7QVPhSDouL1,https://api.spotify.com/v1/tracks/5z7deaTe21B7QVPhSDouL1,https://api.spotify.com/v1/audio-analysis/5z7deaTe21B7QVPhSDouL1,370867,4
Windows,['Chick Corea'],48,0m8tSPLHhjhGToD6LW0RPp,jazz,0.503,0.344,1,-19.024,1,0.0369,0.673,0.381,0.096,0.468,108.489,audio_features,spotify:track:0m8tSPLHhjhGToD6LW0RPp,https://api.spotify.com/v1/tracks/0m8tSPLHhjhGToD6LW0RPp,https://api.spotify.com/v1/audio-analysis/0m8tSPLHhjhGToD6LW0RPp,191933,4
My One And Only Love,"['John Coltrane', 'Johnny Hartman']",58,1BPmVDqR4cX9aFC0Qx0eWn,jazz,0.461,0.0546,0,-18.982,1,0.0362,0.988,0.208,0.126,0.23,128.91,audio_features,spotify:track:1BPmVDqR4cX9aFC0Qx0eWn,https://api.spotify.com/v1/tracks/1BPmVDqR4cX9aFC0Qx0eWn,https://api.spotify.com/v1/audio-analysis/1BPmVDqR4cX9aFC0Qx0eWn,296667,4
A Day In The Life,['Wes Montgomery'],0,6f7r5i4xVwePkHDHwwMK75,jazz,0.476,0.251,9,-13.854,0,0.0278,0.769,0.774,0.0637,0.37,98.833,audio_features,spotify:track:6f7r5i4xVwePkHDHwwMK75,https://api.spotify.com/v1/tracks/6f7r5i4xVwePkHDHwwMK75,https://api.spotify.com/v1/audio-analysis/6f7r5i4xVwePkHDHwwMK75,354973,4
